0.600000	0.000000
0.700000	1.896295
0.800000	2.776551
0.900000	3.359551
1.000000	3.789502
1.100000	4.125218
1.200000	4.397166
1.300000	4.623351
1.400000	4.815367
1.500000	4.981145
1.600000	5.126366
1.700000	5.255256
1.800000	5.371057
1.900000	5.476325
2.000000	5.573128
2.100000	5.663186
2.200000	5.747961
2.300000	5.828738
2.400000	5.906678
2.500000	5.982870
2.600000	6.058375
2.700000	6.134272
2.800000	6.211712
2.900000	6.291975
3.000000	6.376562
3.100000	6.467305
3.200000	6.566551
3.300000	6.677445
