0.500000	-nan
0.600000	2.738104
0.700000	3.621917
0.800000	4.177448
0.900000	4.566673
1.000000	4.854133
1.100000	5.073060
1.200000	5.243009
1.300000	5.376494
1.400000	5.482009
1.500000	5.565577
1.600000	5.631613
1.700000	5.683444
1.800000	5.723628
1.900000	5.754173
2.000000	5.776673
2.100000	5.792416
2.200000	5.802450
2.300000	5.807640
2.400000	5.808700
2.500000	5.806231
2.600000	5.800736
2.700000	5.792642
2.800000	5.782314
2.900000	5.770061
3.000000	5.756151
3.100000	5.740813
3.200000	5.724248
3.300000	5.706628
3.400000	5.688104
3.500000	5.668806
3.600000	5.648849
3.700000	5.628335
3.800000	5.607352
3.900000	5.585977
4.000000	5.564279
4.100000	5.542319
4.200000	5.520149
4.300000	5.497817
4.400000	5.475365
4.500000	5.452829
4.600000	5.430243
4.700000	5.407635
4.800000	5.385030
4.900000	5.362452
5.000000	5.339921
